"entity","year","lifeexpectancyyears"
"Denmark",1939,65.8099975585938
"Denmark",1940,66.25
"Spain",1908,41.3300018310547
"Spain",1909,40.9599990844727
"Spain",1910,40.7799987792969
"Spain",1911,39.7000007629395
"Spain",1912,43.4300003051758
"Spain",1913,42.4900016784668
"Spain",1914,42.75
"Spain",1915,42.9700012207031
"Spain",1916,43.9000015258789
"Spain",1917,42.5400009155273
"Spain",1918,30.25
"Spain",1919,41.060001373291
"Spain",1920,39.2200012207031
"Spain",1921,41.9500007629395
"Spain",1922,44.1300010681152
"Spain",1923,44.689998626709
"Spain",1924,46.2299995422363
"Spain",1925,46.8800010681152
"Spain",1926,47.7000007629395
"Spain",1927,48.4199981689453
"Spain",1928,48.6100006103516
"Spain",1929,49.4300003051758
"Spain",1930,49.2599983215332
"Spain",1931,49.1599998474121
"Spain",1932,51.1199989318848
"Spain",1933,51.5299987792969
"Spain",1934,52.1699981689453
"Spain",1935,52.6399993896484
"Spain",1936,50.9599990844727
"Spain",1937,47.2799987792969
"Spain",1938,47.5800018310547
"Spain",1939,47.2099990844727
"Spain",1940,48.439998626709
"Finland",1900,41.7400016784668
"Finland",1901,42.7999992370605
"Finland",1902,46.1699981689453
"Finland",1903,46.5900001525879
"Finland",1904,47.1599998474121
"Finland",1905,45.9900016784668
"Finland",1906,47.0200004577637
"Finland",1907,46.9300003051758
"Finland",1908,46.060001373291
"Finland",1909,48.6300010681152
"Finland",1910,48.4900016784668
"Finland",1911,48.6800003051758
"Finland",1912,49.0800018310547
"Finland",1913,49.0099983215332
"Finland",1914,49.689998626709
"Finland",1915,49.5
"Finland",1916,48
"Finland",1917,46.4700012207031
"Finland",1918,32.7900009155273
"Finland",1919,43.0499992370605
"Finland",1920,47.5299987792969
"Finland",1921,52.3699989318848
"Finland",1922,51.8899993896484
"Finland",1923,52.4900016784668
"Finland",1924,50.1800003051758
"Finland",1925,53.3899993896484
"Finland",1926,53.7999992370605
"Finland",1927,51.8300018310547
"Finland",1928,53.6800003051758
"Finland",1929,51.25
"Finland",1930,54.4500007629395
"Finland",1931,54.8600006103516
"Finland",1932,55.7700004577637
"Finland",1933,55.4300003051758
"Finland",1934,56.0200004577637
"Finland",1935,57.3600006103516
"Finland",1936,56.1500015258789
"Finland",1937,57.0999984741211
"Finland",1938,57.2000007629395
"Finland",1939,54.6399993896484
"Finland",1940,46.5999984741211
"France",1900,45.0099983215332
"France",1901,46.9300003051758
"France",1902,47.9599990844727
"France",1903,48.3699989318848
"France",1904,48.0299987792969
"France",1905,48.2999992370605
"France",1906,47.6800003051758
"France",1907,48.2400016784668
"France",1908,49.2700004577637
"France",1909,49.9599990844727
"France",1910,51.3300018310547
"France",1911,48.1300010681152
"France",1912,51.5699996948242
"France",1913,51.310001373291
"France",1914,38.2000007629395
"France",1915,36.25
"France",1916,40.2200012207031
"France",1917,43.0800018310547
"France",1918,34.8400001525879
"France",1919,47.5999984741211
"France",1920,51.5299987792969
"France",1921,52.6199989318848
"France",1922,54.8499984741211
"France",1923,54.5900001525879
"France",1924,55.2099990844727
"France",1925,54.3300018310547
"France",1926,53.9700012207031
"France",1927,55.7400016784668
"France",1928,55.3800010681152
"France",1929,54.2299995422363
"France",1930,56.8300018310547
"France",1931,56.8899993896484
"France",1932,57.2200012207031
"France",1933,57.6599998474121
"France",1934,58.3199996948242
"France",1935,58.2900009155273
"France",1936,58.7799987792969
"France",1937,59.1399993896484
"France",1938,58.9500007629395
"France",1939,59.5900001525879
"France",1940,49.5499992370605
"United Kingdom",1900,45.6199989318848
"United Kingdom",1901,46.9300003051758
"United Kingdom",1902,48.3549995422363
"United Kingdom",1903,49.5400009155273
"United Kingdom",1904,48.1450004577637
"United Kingdom",1905,49.9199981689453
"United Kingdom",1906,49.5950012207031
"United Kingdom",1907,50.564998626709
"United Kingdom",1908,51.0200004577637
"United Kingdom",1909,51.6699981689453
"United Kingdom",1910,53.2550010681152
"United Kingdom",1911,51.2249984741211
"United Kingdom",1912,54.310001373291
"United Kingdom",1913,53.3549995422363
"United Kingdom",1914,53.2099990844727
"United Kingdom",1915,51.2050018310547
"United Kingdom",1916,54.2400016784668
"United Kingdom",1917,54.1549987792969
"United Kingdom",1918,47.2750015258789
"United Kingdom",1919,54.310001373291
"United Kingdom",1920,57.2550010681152
"United Kingdom",1921,58.0849990844727
"United Kingdom",1922,57.0299987792969
"United Kingdom",1923,59.310001373291
"United Kingdom",1924,58.0800018310547
"United Kingdom",1925,58.4300003051758
"United Kingdom",1926,59.5699996948242
"United Kingdom",1927,58.9599990844727
"United Kingdom",1928,59.9199981689453
"United Kingdom",1929,57.6300010681152
"United Kingdom",1930,60.7799987792969
"United Kingdom",1931,60.0099983215332
"United Kingdom",1932,60.5299987792969
"United Kingdom",1933,60.5800018310547
"United Kingdom",1934,61.310001373291
"United Kingdom",1935,61.9599990844727
"United Kingdom",1936,61.7599983215332
"United Kingdom",1937,61.7999992370605
"United Kingdom",1938,63.2099990844727
"United Kingdom",1939,63.6100006103516
"United Kingdom",1940,60.8800010681152
"Iceland",1900,46.6500015258789
"Iceland",1901,53.0099983215332
"Iceland",1902,50.5999984741211
"Iceland",1903,48.7599983215332
"Iceland",1904,52.6399993896484
"Iceland",1905,49.5
"Iceland",1906,53.5499992370605
"Iceland",1907,49.7299995422363
"Iceland",1908,45.7900009155273
"Iceland",1909,52.3499984741211
"Iceland",1910,52.6500015258789
"Iceland",1911,55.439998626709
"Iceland",1912,56.0099983215332
"Iceland",1913,58.939998626709
"Iceland",1914,51.9000015258789
"Iceland",1915,53.6399993896484
"Iceland",1916,54.4799995422363
"Iceland",1917,58.9799995422363
"Iceland",1918,51.0800018310547
"Iceland",1919,58.4900016784668
"Iceland",1920,54.560001373291
"Iceland",1921,54.1599998474121
"Iceland",1922,56.9300003051758
"Iceland",1923,57.6599998474121
"Iceland",1924,54
"Iceland",1925,58.2900009155273
"Iceland",1926,60.75
"Iceland",1927,58.0499992370605
"Iceland",1928,61.7400016784668
"Iceland",1929,60.5299987792969
"Iceland",1930,60.25
"Iceland",1931,60.810001373291
"Iceland",1932,62.1300010681152
"Iceland",1933,63
"Iceland",1934,63.3600006103516
"Iceland",1935,59.4700012207031
"Iceland",1936,62.7200012207031
"Iceland",1937,63.4700012207031
"Iceland",1938,65.0800018310547
"Iceland",1939,65.9599990844727
"Iceland",1940,65.7699966430664
"Italy",1900,41.6699981689453
"Italy",1901,43.5400009155273
"Italy",1902,42.9900016784668
"Italy",1903,43.1100006103516
"Italy",1904,44.3899993896484
"Italy",1905,43.9000015258789
"Italy",1906,45.0499992370605
"Italy",1907,45.4099998474121
"Italy",1908,43.1399993896484
"Italy",1909,44.6399993896484
"Italy",1910,46.7099990844727
"Italy",1911,44.7299995422363
"Italy",1912,48.9300003051758
"Italy",1913,48.4099998474121
"Italy",1914,49.8499984741211
"Italy",1915,42.4900016784668
"Italy",1916,39.560001373291
"Italy",1917,38.1399993896484
"Italy",1918,25.8099994659424
"Italy",1919,42.3300018310547
"Italy",1920,45.4700012207031
"Italy",1921,49.189998626709
"Italy",1922,49.9500007629395
"Italy",1923,51.4099998474121
"Italy",1924,51.4700012207031
"Italy",1925,51.2700004577637
"Italy",1926,50.9199981689453
"Italy",1927,52.5400009155273
"Italy",1928,52.6399993896484
"Italy",1929,52.25
"Italy",1930,55.1599998474121
"Italy",1931,54.75
"Italy",1932,54.7400016784668
"Italy",1933,56.2599983215332
"Italy",1934,56.8300018310547
"Italy",1935,56.2000007629395
"Italy",1936,56.7200012207031
"Italy",1937,55.4500007629395
"Italy",1938,56.0900001525879
"Italy",1939,57.5999984741211
"Italy",1940,56.9500007629395
"Jamaica",1900,37.7999992370605
"Jamaica",1901,38.0999984741211
"Jamaica",1902,40.4000015258789
"Jamaica",1903,34.5999984741211
"Jamaica",1904,33.5999984741211
"Jamaica",1905,37.5999984741211
"Jamaica",1906,32.4000015258789
"Jamaica",1907,29.5
"Jamaica",1908,36.7999992370605
"Jamaica",1909,37.2999992370605
"Jamaica",1910,36.7000007629395
"Jamaica",1911,37.9000015258789
"Jamaica",1912,34.4000015258789
"Jamaica",1913,37.5
"Jamaica",1914,38.2000007629395
"Jamaica",1915,37
"Jamaica",1916,35.5999984741211
"Jamaica",1917,31.7000007629395
"Jamaica",1918,26.3999996185303
"Jamaica",1919,36.5999984741211
"Jamaica",1920,35.4000015258789
"Jamaica",1921,30.7000007629395
"Jamaica",1922,37
"Jamaica",1923,38
"Jamaica",1924,38.5999984741211
"Jamaica",1925,38.9000015258789
"Jamaica",1926,40.7000007629395
"Jamaica",1927,39.4000015258789
"Jamaica",1928,41.5999984741211
"Jamaica",1929,43
"Jamaica",1930,45.2999992370605
"Jamaica",1931,42.7000007629395
"Jamaica",1932,44.2000007629395
"Jamaica",1933,41.5999984741211
"Jamaica",1934,44.4000015258789
"Jamaica",1935,44
"Jamaica",1936,44.4000015258789
"Jamaica",1937,47.2000007629395
"Jamaica",1938,45.9000015258789
"Jamaica",1939,48.5
"Jamaica",1940,47.5999984741211
"Luxembourg",1901,47.976001739502
"Luxembourg",1902,48.0568008422852
"Luxembourg",1903,46.910400390625
"Luxembourg",1904,44.8272018432617
"Luxembourg",1905,46.2080001831055
"Luxembourg",1906,46.5912017822266
"Luxembourg",1907,49.0008010864258
"Luxembourg",1908,46.4567985534668
"Luxembourg",1909,47.7935981750488
"Luxembourg",1910,49.6640014648438
"Luxembourg",1911,46.3832015991211
"Luxembourg",1912,48.8815994262695
"Luxembourg",1913,50.244800567627
"Luxembourg",1914,50.0695991516113
"Luxembourg",1915,51.4687995910645
"Luxembourg",1916,50.1152000427246
"Luxembourg",1917,48.0471992492676
"Luxembourg",1918,42.334400177002
"Luxembourg",1919,44.6783981323242
"Luxembourg",1920,54.6223983764648
"Luxembourg",1921,56.2056007385254
"Luxembourg",1922,55.2663993835449
"Luxembourg",1923,54.6839981079102
"Luxembourg",1924,56.7616004943848
"Luxembourg",1925,54.7887992858887
"Luxembourg",1926,53.4056015014648
"Luxembourg",1927,55.8591995239258
"Luxembourg",1928,55.3520011901855
"Luxembourg",1929,52.7032012939453
"Luxembourg",1930,56.7984008789062
"Luxembourg",1931,57.5887985229492
"Luxembourg",1932,56.6615982055664
"Luxembourg",1933,58.3152008056641
"Luxembourg",1934,59.9031982421875
"Luxembourg",1935,59.1007995605469
"Luxembourg",1936,61.2008018493652
"Luxembourg",1937,61.0639991760254
"Luxembourg",1938,59.2032012939453
"Luxembourg",1939,60.3520011901855
"Luxembourg",1940,61.9472007751465
"Netherlands",1900,48.3800010681152
"Netherlands",1901,48.7099990844727
"Netherlands",1902,50.5999984741211
"Netherlands",1903,51.4500007629395
"Netherlands",1904,50.8499984741211
"Netherlands",1905,52.0499992370605
"Netherlands",1906,52.7099990844727
"Netherlands",1907,53.4700012207031
"Netherlands",1908,52.7099990844727
"Netherlands",1909,54.9199981689453
"Netherlands",1910,55.0999984741211
"Netherlands",1911,53.1199989318848
"Netherlands",1912,57.1599998474121
"Netherlands",1913,57.3199996948242
"Netherlands",1914,57.1599998474121
"Netherlands",1915,57.2000007629395
"Netherlands",1916,56.1599998474121
"Netherlands",1917,55.6399993896484
"Netherlands",1918,47.6100006103516
"Netherlands",1919,54.9500007629395
"Netherlands",1920,57.7900009155273
"Netherlands",1921,59.7299995422363
"Netherlands",1922,59.7700004577637
"Netherlands",1923,61.9900016784668
"Netherlands",1924,62.9099998474121
"Netherlands",1925,63.1199989318848
"Netherlands",1926,62.9900016784668
"Netherlands",1927,62.6100006103516
"Netherlands",1928,63.7000007629395
"Netherlands",1929,62.1500015258789
"Netherlands",1930,64.6699981689453
"Netherlands",1931,64.3099975585938
"Netherlands",1932,65.379997253418
"Netherlands",1933,66.0400009155273
"Netherlands",1934,66.5999984741211
"Netherlands",1935,66.5
"Netherlands",1936,66.7399978637695
"Netherlands",1937,66.9599990844727
"Netherlands",1938,67.379997253418
"Netherlands",1939,67.7300033569336
"Netherlands",1940,65.4000015258789
"Norway",1900,53.4700012207031
"Norway",1901,54.5900001525879
"Norway",1902,56.4799995422363
"Norway",1903,54.9700012207031
"Norway",1904,56.0800018310547
"Norway",1905,55.0999984741211
"Norway",1906,56.9000015258789
"Norway",1907,56.4900016784668
"Norway",1908,56.2900009155273
"Norway",1909,57.4700012207031
"Norway",1910,57.9900016784668
"Norway",1911,58.0200004577637
"Norway",1912,57.7299995422363
"Norway",1913,58.310001373291
"Norway",1914,57.7999992370605
"Norway",1915,58.1599998474121
"Norway",1916,57.2299995422363
"Norway",1917,57.7200012207031
"Norway",1918,50.3199996948242
"Norway",1919,56.7900009155273
"Norway",1920,58.8600006103516
"Norway",1921,61.5699996948242
"Norway",1922,60.7799987792969
"Norway",1923,61.7999992370605
"Norway",1924,62.1100006103516
"Norway",1925,62.5099983215332
"Norway",1926,63.25
"Norway",1927,62.8499984741211
"Norway",1928,63.4000015258789
"Norway",1929,62.4599990844727
"Norway",1930,64.0999984741211
"Norway",1931,64.120002746582
"Norway",1932,64.5999984741211
"Norway",1933,65.4800033569336
"Norway",1934,66.2200012207031
"Norway",1935,65.8300018310547
"Norway",1936,65.8199996948242
"Norway",1937,66.0199966430664
"Norway",1938,67.0800018310547
"Norway",1939,67.3499984741211
"Norway",1940,65.879997253418
"Sweden",1900,52.2099990844727
"Sweden",1901,52.8699989318848
"Sweden",1902,54.7299995422363
"Sweden",1903,55.0499992370605
"Sweden",1904,55.3600006103516
"Sweden",1905,54.5
"Sweden",1906,56.6500015258789
"Sweden",1907,56.9500007629395
"Sweden",1908,56.3800010681152
"Sweden",1909,58.3800010681152
"Sweden",1910,57.7599983215332
"Sweden",1911,58
"Sweden",1912,57.7599983215332
"Sweden",1913,58.6500015258789
"Sweden",1914,58.2400016784668
"Sweden",1915,57.1699981689453
"Sweden",1916,58.189998626709
"Sweden",1917,58.8499984741211
"Sweden",1918,49.810001373291
"Sweden",1919,56.5499992370605
"Sweden",1920,58.7799987792969
"Sweden",1921,61.0099983215332
"Sweden",1922,61.0299987792969
"Sweden",1923,62.9599990844727
"Sweden",1924,61.9700012207031
"Sweden",1925,62.5499992370605
"Sweden",1926,62.7799987792969
"Sweden",1927,61.560001373291
"Sweden",1928,62.2599983215332
"Sweden",1929,62.310001373291
"Sweden",1930,63.1800003051758
"Sweden",1931,62.6599998474121
"Sweden",1932,63.9300003051758
"Sweden",1933,64.8099975585938
"Sweden",1934,64.9499969482422
"Sweden",1935,64.8499984741211
"Sweden",1936,64.5899963378906
"Sweden",1937,64.629997253418
"Sweden",1938,65.5500030517578
"Sweden",1939,66.379997253418
"Sweden",1940,66.7200012207031
"United States",1901,49.2999992370605
"United States",1902,50.5
"United States",1903,50.5999984741211
"United States",1904,49.5999984741211
"United States",1905,50.2999992370605
"United States",1906,50.0999984741211
"United States",1907,50.2000007629395
"United States",1908,51.9000015258789
"United States",1909,52.7999992370605
"United States",1910,51.7999992370605
"United States",1911,53.4000015258789
"United States",1912,54.0999984741211
"United States",1913,53.5
"United States",1914,54.5999984741211
"United States",1915,55.0999984741211
"United States",1916,54.2000007629395
"United States",1917,54
"United States",1918,47.2000007629395
"United States",1919,55.2999992370605
"United States",1920,55.4000015258789
"United States",1921,58.2000007629395
"United States",1922,58.0999984741211
"United States",1923,57.5
"United States",1924,58.5
"United States",1925,58.5
"United States",1926,57.9000015258789
"United States",1927,59.4000015258789
"United States",1928,58.2999992370605
"United States",1929,58.5
"United States",1930,59.5999984741211
"United States",1931,60.2999992370605
"United States",1932,61
"United States",1933,60.8800010681152
"United States",1934,60.2299995422363
"United States",1935,60.8899993896484
"United States",1936,60.3499984741211
"United States",1937,61.0499992370605
"United States",1938,62.3899993896484
"United States",1939,63.0699996948242
"United States",1940,63.2299995422363
"average",1900,46.5363634282892
"average",1901,48.1758458064153
"average",1902,49.3785996070275
"average",1903,48.8269535945012
"average",1904,48.8863229017991
"average",1905,49.0259998028095
"average",1906,49.6497080876277
"average",1907,49.5150621854342
"average",1908,48.8797716413225
"average",1909,50.4181137084961
"average",1910,50.9420716421945
"average",1911,50.2434430803571
"average",1912,51.8415426526751
"average",1913,52.2928428649902
"average",1914,51.0863998958043
"average",1915,50.459557397025
"average",1916,50.3832288469587
"average",1917,50.1672998155866
"average",1918,42.0235290527344
"average",1919,50.2591713496617
"average",1920,52.0212432316371
"average",1921,53.951471056257
"average",1922,54.6990282876151
"average",1923,55.5895712716239
"average",1924,55.4722573416574
"average",1925,56.0563428061349
"average",1926,56.4289714268276
"average",1927,56.318514415196
"average",1928,57.063714163644
"average",1929,56.3230860573905
"average",1930,58.1470282418387
"average",1931,57.9441999707903
"average",1932,58.6558284759521
"average",1933,59.1125144958496
"average",1934,59.8037994929722
"average",1935,59.4322000231062
"average",1936,59.7721999032157
"average",1937,59.9002851758684
"average",1938,60.3152294158936
"average",1939,60.8415709904262
"average",1940,59.1969424656459
